gender,years_exp,education,test_score,age,career_break_months,senior_hire,hire_score
M,2.87,1,84.2,36.3,7,0,11.9
M,8.45,2,74.0,41.1,5,1,18.0
F,4.83517395982783,0,53.1,32.1,20,0,6.7
M,3.58,2,76.7,40.5,1,1,15.8
M,5.76,0,55.1,31.4,6,0,7.3
F,5.23517395982783,1,51.3,37.1,11,0,10.8
M,3.03,0,65.6,21.0,9,0,6.7
F,1.78517395982783,0,61.6,39.4,15,0,5.8
M,3.14,0,54.2,41.9,9,0,6.0
F,9.40517395982784,2,63.0,33.3,42,1,17.7
F,10.6851739598278,0,55.3,31.5,23,0,9.8
F,7.40517395982783,2,68.1,36.1,16,0,17.1
M,8.46,0,67.2,41.4,4,0,9.5
M,4.21,0,76.4,39.5,2,0,8.1
M,5.31,0,62.0,32.6,5,0,7.6
F,6.48517395982783,2,51.4,33.5,33,0,15.5
M,2.8,0,51.6,32.6,4,0,5.6
F,3.30517395982783,2,64.5,36.7,17,1,14.8
F,6.01517395982783,0,85.9,32.0,47,0,9.6
M,4.7,2,77.6,25.6,8,1,16.4
F,3.11517395982783,1,59.7,41.9,38,0,10.3
M,6.47,0,78.8,44.8,3,0,9.4
M,4.84,1,53.5,34.6,3,0,10.8
F,8.32517395982783,0,79.6,38.1,11,0,10.3
M,5.49,1,62.8,40.1,5,0,11.8
F,5.02517395982783,0,76.7,28.0,39,0,8.5
M,5.82,1,74.9,33.0,5,0,12.8
F,5.34517395982783,1,64.1,45.2,21,0,11.8
F,4.10517395982783,0,71.4,31.5,31,0,7.7
M,4.5,0,54.6,21.0,3,0,6.7
F,7.64517395982783,2,66.5,34.5,11,1,17.1
F,7.39517395982783,0,80.5,43.4,16,0,9.9
M,8.72,0,100.0,39.9,12,0,12.0
F,1.54517395982783,0,75.9,31.7,49,0,6.7
M,4.52,1,68.5,42.4,5,0,11.7
M,4.46,1,55.3,46.3,4,0,10.7
M,5.93,1,80.2,34.4,6,0,13.2
F,4.64517395982783,0,47.5,48.9,6,0,6.3
M,4.22,0,57.8,32.2,10,0,6.8
M,7.46,1,71.8,36.0,6,0,13.4
M,5.95,0,52.9,28.9,6,0,7.3
M,2.58,0,86.0,29.9,3,0,7.9
F,9.11517395982783,1,80.6,22.5,26,0,14.8
M,7.99,0,60.6,38.8,3,0,8.8
M,4.07,1,60.8,33.7,9,0,10.9
M,7.58,0,51.6,31.9,5,0,8.0
M,3.66,0,50.6,37.4,5,0,6.0
M,8.31,1,72.8,33.0,3,1,13.9
F,5.23517395982783,0,75.0,21.0,13,0,8.5
M,3.49,2,71.7,49.5,7,0,15.4
F,4.84517395982783,1,70.6,37.8,15,0,12.0
F,3.86517395982783,1,60.7,27.9,21,0,10.8
F,6.25517395982783,1,71.8,37.0,2,0,12.8
M,5.94,2,49.7,33.3,7,0,15.1
M,5.59,0,67.5,44.4,6,0,8.1
M,4.11,2,85.2,39.3,4,1,16.6
F,0.275173959827833,2,83.4,31.4,55,0,14.6
F,6.00517395982783,0,61.9,34.7,11,0,7.9
F,1.03517395982783,0,63.4,38.2,14,0,5.6
M,6.11,1,84.0,40.9,4,0,13.5
M,8.33,0,89.0,37.2,4,0,11.0
M,6.18,0,49.4,34.2,2,0,7.2
M,4.53,0,62.3,35.1,8,0,7.2
M,5.05,1,70.3,31.4,3,0,12.1
F,5.44517395982783,2,82.1,37.1,10,0,17.1
F,4.40517395982783,2,57.4,35.0,22,0,14.8
M,4.04,1,75.2,37.3,9,0,11.9
M,3.19,1,63.8,40.9,7,0,10.7
M,8.47,2,96.1,21.0,2,1,19.6
F,5.73517395982783,1,72.6,33.7,11,0,12.6
F,8.16517395982783,2,65.8,35.2,29,1,17.3
F,5.14517395982783,1,63.4,32.4,14,0,11.6
M,5.68,1,80.2,27.4,2,0,13.1
M,5.07,1,75.6,27.8,4,0,12.4
M,6.66,0,54.4,38.9,6,0,7.7
F,7.84517395982783,0,70.1,43.6,13,0,9.4
F,6.37517395982783,0,51.3,30.1,25,0,7.4
M,3.82,2,58.4,38.8,6,0,14.6
M,3.55,2,51.9,32.5,7,1,14.0
M,9.65,1,51.5,44.0,13,0,13.0
M,4.8,0,59.2,32.7,3,0,7.2
M,4.77,0,55.7,38.2,6,0,6.9
M,9.16,1,73.8,39.8,5,0,14.4
M,8.22,1,77.1,34.0,7,0,14.1
F,7.10517395982783,0,64.6,38.2,27,0,8.7
F,4.77517395982783,0,54.0,38.5,14,0,6.8
M,11.38,1,77.2,41.2,6,0,15.7
F,6.75517395982783,1,43.1,25.8,24,0,11.0
M,6.87,0,44.2,32.8,5,0,7.1
M,5.07,0,76.2,34.9,5,0,8.5
M,1.96,0,75.4,35.6,6,0,6.9
F,2.43517395982783,1,79.2,38.4,16,0,11.4
M,6.52,1,64.9,39.5,3,0,12.4
F,6.75517395982783,1,52.3,43.3,21,0,11.6
M,4.9,2,61.3,43.6,6,0,15.4
M,2.57,1,74.3,30.4,2,0,11.1
F,2.17517395982783,0,58.2,35.2,45,0,5.8
F,4.95517395982783,1,59.0,40.5,38,0,11.2
M,1.86,2,50.7,26.7,2,0,13.1
M,7.75,2,53.4,39.0,4,1,16.2
F,8.65517395982784,0,77.6,36.1,13,0,10.4
M,12.57,0,72.9,22.4,2,0,12.0
F,7.97517395982783,1,53.5,37.5,28,0,12.3
F,4.29517395982783,2,54.4,41.6,31,0,14.6
M,3.32,1,60.7,35.3,4,0,10.5
M,0.0,1,74.1,38.4,6,0,9.8
M,4.01,0,53.4,24.4,2,0,6.4
F,5.33517395982783,2,65.4,35.5,53,0,15.9
M,7.92,0,41.6,29.9,4,0,7.5
M,7.03,1,52.3,33.1,3,0,11.8
M,6.97,1,72.5,34.3,6,0,13.2
F,6.30517395982783,2,78.3,39.9,34,1,17.2
M,7.15,2,53.5,35.0,5,1,15.9
M,9.12,1,58.1,37.4,9,0,13.2
F,3.11517395982783,0,77.1,27.2,8,0,7.6
F,4.63517395982783,2,62.8,37.1,8,1,15.3
M,2.03,1,60.9,39.1,3,0,9.9
F,9.82517395982783,0,73.7,25.9,27,0,10.7
M,8.74,0,69.8,25.5,5,0,9.9
F,7.65517395982783,2,80.9,34.0,31,1,18.1
F,2.77517395982783,2,77.0,32.4,11,0,15.4
